146,136,136
135,139,166
158,137,119
125,156,143
140,128,143
140,147,136
142,137,138
142,138,154
143,148,130
161,140,142
121,133,137
138,141,141
142,141,141
140,142,147
143,140,136
139,140,140
141,148,142
141,133,140
141,141,148
142,144,136
140,138,149
140,141,132
141,141,153
141,141,131
149,148,139
139,133,139
135,141,157
154,141,142
128,155,135
158,130,133
124,147,139
147,139,141
135,143,141
151,143,141
132,132,142
140,139,140
142,144,141
142,138,140
139,144,142
146,139,141
136,140,140
141,153,152
141,137,150
141,135,135
142,143,132
140,153,145
146,129,135
141,144,138
136,137,140
142,139,144
140,139,138
141,141,140
147,141,140
146,141,142
132,142,141
140,140,140
140,145,141
141,149,141
140,133,141
143,144,143
139,137,139
142,137,141
144,141,140
138,142,147
141,142,136
140,140,143
141,141,156
141,147,122
141,137,141
143,140,142
139,140,140
141,141,141
141,141,141
141,141,141
141,144,142
140,138,140
141,146,142
141,146,145
141,130,136
142,142,141
140,140,140
141,140,154
140,141,129
141,141,141
142,142,142
140,140,140
141,141,142
140,142,140
141,140,141
142,148,142
141,138,140
140,136,141
141,141,140
142,141,155
141,151,131
141,132,138
145,141,141
146,141,140
136,147,142
138,138,142
140,139,140
140,140,155
145,141,128
137,141,140
145,144,142
136,139,148
142,141,133
140,140,141
142,142,140
142,141,142
139,140,140
141,141,141
141,141,141
141,141,141
142,142,142
139,144,142
141,143,143
141,134,137
141,148,141
148,136,142
154,142,140
138,137,141
124,145,142
141,139,140
142,142,142
140,138,139
141,141,140
147,141,141
135,141,141
142,143,143
140,141,139
141,138,140
141,141,141
141,143,146
142,156,137
140,133,140
141,132,141
141,140,141
141,142,140
142,141,143
149,140,139
136,148,140
139,141,142
139,142,140
142,136,142
139,138,140
144,146,141
144,136,145
137,142,137
149,141,142
142,141,139
129,138,141
154,142,142
129,141,155
141,141,128
140,140,144
145,141,137
136,141,141
141,140,140
143,143,142
139,147,140
141,132,143
140,141,141
141,141,139
142,142,142
140,139,140
141,141,140
141,140,142
141,141,141
142,142,142
140,140,156
140,141,125
141,141,141
141,141,141
142,142,142
140,140,141
140,143,140
141,139,141
147,141,141
138,142,142
145,140,146
135,141,135
140,142,140
141,140,141
142,141,142
141,140,140
148,141,141
133,140,141
141,142,141
142,141,142
140,140,140
141,150,140
143,133,142
142,144,141
140,147,142
140,131,140
141,141,141
142,141,141
140,142,141
142,147,148
140,134,134
141,141,140
141,141,141
141,141,141
142,143,142
140,138,149
140,141,154
140,141,120
141,140,140
143,142,142
139,140,141
141,141,145
141,141,136
141,143,142
143,140,140
139,140,140
141,141,140
141,141,141
141,141,141
142,142,142
140,144,140
141,137,141
143,141,141
139,142,141
142,141,142
140,139,140
140,141,142
141,141,141
141,141,148
142,144,140
140,138,133
141,141,141
141,141,141
141,141,141
142,142,142
140,140,143
142,141,155
140,141,124
141,141,141
153,143,142
130,139,140
140,140,141
141,141,141
146,141,142
137,144,142
140,138,139
141,141,142
141,143,141
147,139,140
136,142,142
140,140,140
148,141,148
134,141,133
141,141,141
143,142,156
139,139,132
141,141,136
141,144,140
141,138,141
148,142,152
134,140,133
141,141,138
141,141,147
155,141,136
129,142,140
139,140,140
141,141,147
141,141,136
141,142,142
142,141,140
140,140,155
140,142,148
141,140,119
141,142,140
155,141,151
134,139,134
134,141,138
141,146,141
141,137,166
142,140,117
139,146,140
147,162,142
138,113,140
138,141,141
141,142,142
140,145,140
140,136,141
141,141,141
141,142,141
142,158,143
140,123,152
140,141,129
142,146,140
143,137,141
147,147,143
133,143,139
141,140,141
151,140,141
144,147,141
139,129,142
141,139,140
134,141,146
137,140,135
149,155,157
137,128,126
137,139,141
140,141,157
140,141,139
157,141,129
132,143,145
134,140,135
144,142,140
150,146,165
129,143,118
147,142,150
136,130,130
140,142,141
151,149,141
133,150,146
144,124,151
135,140,133
158,141,137
130,149,138
153,152,140
134,131,142
136,138,143
144,143,139
132,133,146
146,140,140
154,150,138
123,138,142
142,148,136
168,140,146
130,133,140
148,143,145
130,136,154
137,153,125
144,134,139
142,138,146
145,138,144
153,149,135
130,131,141
134,141,137
132,145,140
161,143,148
123,137,149
162,141,146
133,146,129
133,146,146
147,135,140
141,149,140
146,141,148
142,128,152
128,139,140
144,141,139
135,153,138
157,136,143
131,145,135
144,149,123
133,136,146
152,133,145
154,146,130
125,142,195
140,148,102
133,124,169
155,150,146
135,140,98
162,140,142
132,142,163
142,135,136
118,165,121
140,153,159
151,142,158
165,97,115
112,153,155
154,141,128
144,168,130
193,160,156
78,106,165
161,151,120
113,119,123
143,150,150
138,134,145
140,176,130
173,117,178
140,138,136
156,141,118
96,140,183
143,148,170
146,130,99
172,133,140
127,184,136
131,108,131
151,150,143
137,128,137
152,148,148
121,136,131
135,130,124
164,149,156
155,154,146
96,148,146
144,118,136
167,153,148
129,127,120
157,159,171
136,139,130
126,117,137
138,161,155
157,142,118
138,123,185
189,141,109
95,137,116
151,148,157
128,142,139
177,168,142
106,123,146
182,172,149
98,195,171
147,62,131
143,151,107
140,155,145
130,104,153
183,172,120
125,174,192
116,108,97
150,148,143
148,113,152
164,133,132
132,153,162
110,153,131
132,156,138
174,107,136
151,171,169
128,101,130
172,139,150
120,153,136
154,140,145
147,168,114
114,128,143
135,175,148
174,87,115
116,194,161
104,96,211
176,168,110
136,178,110
147,106,177
144,137,144
117,96,115
169,163,157
118,181,146
150,98,96
160,156,156
130,149,117
136,135,167
129,161,142
152,112,133
160,142,140
195,146,141
100,133,152
159,227,132
78,99,124
151,89,146
133,158,161
133,146,139
147,181,115
171,74,132
127,186,167
134,119,116
135,137,217
200,132,79
100,162,184
151,151,153
162,139,66
195,186,172
64,138,158
128,139,128
119,88,185
155,157,71
133,138,155
264,145,170
67,130,104
